file:best:worst:mean:sd
bur26g.dat:8568042:9845562:9022692.8:381889.764664
chr15b.dat:31924:40666:36629.0:2777.89218653
esc16d.dat:26:38:31.4:4.10365690574
had14.dat:2940:3066:2991.8:37.5707332907
had20.dat:7342:7574:7476.0:66.3505840215
nug28.dat:6318:6578:6448.0:82.9891559181
scr12.dat:36762:43888:40501.2:2546.48670917
tai17a.dat:569372:598772:580600.0:7690.46167665
tai35a.dat:2785922:2850722:2834180.0:18286.958938
wil50.dat:54162:55570:54904.6:410.526539946
