file:best:worst:mean:sd
bur26g.dat:9336000:10044200:9726320.8:221853.271753
chr15b.dat:23460:38900:32135.2:5039.151373
esc16d.dat:24:34:30.2:3.51567916625
had14.dat:2856:3028:2966.0:43.2018518122
had20.dat:7392:7628:7463.2:65.3434005849
nug28.dat:6280:6562:6452.8:87.7824583843
scr12.dat:37664:44702:40827.0:2135.20383102
tai17a.dat:571442:588268:580690.4:5703.13372103
tai35a.dat:2799288:2851698:2829159.4:16478.4467484
wil50.dat:53760:54464:54139.0:204.91217631
